"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Impractical Jokers","2011","8.6","31,737","30 min","TV-14","Comedy,Reality-TV","TV Series (2011– )","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.","Stars:Brian Quinn, James Murray, Sal Vulcano            |See full cast & crew »",NA,NA,"","0",NA,"Actual friends. Actual dares. Actually funny.","USA","English","","","","","","NorthSouth Productions"
"Mr. Robot","2015","8.5","317,055","49 min","TV-MA","Crime,Drama,Thriller","TV Series (2015–2019)","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to take down the corrupt corporation he works for.","Creator:Sam Esmail","Stars:Rami Malek, Christian Slater, Carly Chaikin","Stars:Rami Malek, Christian Slater, Carly Chaikin","","20","78","It's happening. (Season 1)","USA","English,Swedish,Danish,Chinese,Persian","New York City, New York, USA","","","","","Anonymous Content, Esmail Corp., Universal Cable Productions"
"Alfred Hitchcock Presents","1955","8.5","14,244","25 min","TV-14","Comedy,Crime,Drama","TV Series (1955–1962)","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime caused by certain motivations, perceived or not.","Stars:Alfred Hitchcock, Harry Tyler, John Williams            |See full cast & crew »",NA,NA,"","7","16","","USA","English","Universal Studios - 100 Universal City Plaza, Universal City, California, USA","","","","","Alfred J. Hitchcock Productions, Shamley Productions, Revue Studios"
"Pose","2018","8.6","15,922","60 min","TV-MA","Drama","TV Series (2018– )","Pose is set in the world of 1987 and ""looks at the juxtaposition of several segments of life and society in New York: the rise of the luxury universe, the downtown social and literary scene and the ball culture world.""","Creators:Steven Canals, Brad Falchuk, Ryan Murphy","Stars:Mj Rodriguez, Dominique Jackson, Indya Moore","Stars:Mj Rodriguez, Dominique Jackson, Indya Moore","","19","56","","USA","English","New York City, New York, USA","","","","","Color Force, Brad Falchuk Teley-Vision, Ryan Murphy Television"
"Letterkenny","2016","8.7","11,543","30 min","TV-MA","Comedy","TV Series (2016– )","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.","Creators:Jared Keeso, Jacob Tierney","Stars:Jared Keeso, Michelle Mylett, Nathan Dales","Stars:Jared Keeso, Michelle Mylett, Nathan Dales","","13","30","Ain't No Reason to Get Excited.","Canada","English","Sudbury, Ontario, Canada","CAD0","","","","New Metric Media"
"The Night Of","2016","8.5","111,825","525 min","TV-MA","Crime,Drama,Mystery","TV Mini-Series (2016)","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.","Creators:Richard Price, Steven Zaillian","Stars:Riz Ahmed, John Turturro, Bill Camp","Stars:Riz Ahmed, John Turturro, Bill Camp","","13","39","What happened","USA","English","New York City, New York, USA","","","","","BBC Drama Productions, BBC Worldwide Productions, Bad Wolf"
"Endeavour","2012","8.6","16,863","89 min","TV-14","Crime,Drama,Mystery","TV Series (2012– )","Set in the 1960s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of investigations around Oxford.","Stars:Shaun Evans, Roger Allam, James Bradshaw            |See full cast & crew »",NA,NA,"","0","4","","UK","English","","","","","","Mammoth Screen, Masterpiece, ITV Studios"
"Big Little Lies","2017","8.5","141,843","60 min","TV-MA","Crime,Drama,Mystery","TV Series (2017–2019)","The apparently perfect lives of upper-class mothers, at a prestigious elementary school, unravel to the point of murder when a single-mother moves to their quaint Californian beach town.","Creator:David E. Kelley","Stars:Reese Witherspoon, Nicole Kidman, Shailene Woodley","Stars:Reese Witherspoon, Nicole Kidman, Shailene Woodley","","52","76","it's a wonderful lie.","USA","English","Monterey, California, USA","","","","","Home Box Office (HBO), David E. Kelley Productions, Pacific Standard"
"Detectorists","2014","8.6","9,871","30 min","Not Rated","Comedy","TV Series (2014–2017)","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.","Creator:Mackenzie Crook","Stars:Mackenzie Crook, Toby Jones, Rachael Stirling","Stars:Mackenzie Crook, Toby Jones, Rachael Stirling","","2","3","","UK","English","Framlingham, England, UK","","","","","Channel X"
"Silicon Valley","2014","8.5","120,300","28 min","TV-MA","Comedy","TV Series (2014–2019)","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.","Creators:John Altschuler, Mike Judge, Dave Krinsky","Stars:Thomas Middleditch, T.J. Miller, Josh Brener","Stars:Thomas Middleditch, T.J. Miller, Josh Brener","","15","90","Where everyone wants to be an icon","USA","English","Los Angeles, California, USA","","","","","3 Arts Entertainment, Altschuler Krinsky Works, Judgemental Films Inc."
"Homicide: Life on the Street","1993","8.5","11,208","60 min","TV-14","Crime,Drama,Mystery","TV Series (1993–1999)","Follows a police homicide unit which investigates violent crimes in the city of Baltimore.","Creator:Paul Attanasio","Stars:Richard Belzer, Clark Johnson, Yaphet Kotto","Stars:Richard Belzer, Clark Johnson, Yaphet Kotto","","25","82","","USA","English","Baltimore, Maryland, USA","","","","","Baltimore Pictures, Fatima Productions, NBC Studios"
"Meme Review","2017","8.8","7,447",NA,"TV-14","Short,Comedy,Talk-Show","TV Series (2017– )","PewDiePie's critically acclaimed show where he rates and reviews popular memes out of 10 every week.","Stars:Felix Kjellberg, Elon Musk, Will Smith            |See full cast & crew »",NA,NA,"",NA,NA,"Meme (Clap) Review (Clap)","UK,Sweden","English","Brighton, England, UK","EUR399","","","","PewDiePie"
