"title","year","userRating","votes","runtime","mpaaRating","genre","releaseDate","story","director","writer","stars","metacriticScore","awardWins","awardNominations","tagline","country","language","filmingLocations","budget","openingWeekendUS","grossUS","cumulativeWorldwideGross","productionCompany"
"Blackadder II","1986","8.6","41,719","176 min","TV-PG","Comedy","TV Series (1986)","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.","Stars:Rowan Atkinson, Tony Robinson, Tim McInnerny            |See full cast & crew »",NA,NA,"",NA,NA,"The original may be dead... but now his bastard great-great grandson swaggers around Renaissance London with a big head and a small beard.","UK","English","BBC Television Centre, Wood Lane, Shepherd's Bush, London, England, UK","","","","","British Broadcasting Corporation (BBC)"
"The Memoirs of Sherlock Holmes","1994","8.7","6,788","306 min",NA,"Crime,Drama,Mystery","TV Mini-Series (1994)","The last installment of Sherlock Holmes' investigations.","Stars:Jeremy Brett, Rosalie Williams, Edward Hardwicke            |See full cast & crew »",NA,NA,"","0",NA,"","UK","English","","","","","","Granada Television"
"Priklyucheniya Sherloka Kholmsa i doktora Vatsona: Sobaka Baskerviley","1981","8.7","5,117","154 min",NA,"Adventure,Crime,Mystery","TV Mini-Series (1981– )","When Sir Charles Baskerville is found dead in his country house, Dr James Mortimer asks Sherlock Holmes for help to save Sir Henry Baskerville, the only known heir, from the curse that haunts Baskerville family.","Stars:Vasiliy Livanov, Vitali Solomin, Rina Zelyonaya            |See full cast & crew »",NA,NA,"",NA,NA,"","Soviet Union","Russian","St. Petersburg, Russia","","","","","Gosteleradio, Lenfilm Studio"
"Atlanta","2016","8.6","47,435","30 min","TV-MA","Comedy,Drama,Music","TV Series (2016– )","Based in Atlanta, Earn and his cousin Alfred try to make their way in the world through the rap scene. Along the way they come face to face with social and economic issues touching on race, relationships, poverty, status, and parenthood.","Creator:Donald Glover","Stars:Donald Glover, Brian Tyree Henry, LaKeith Stanfield","Stars:Donald Glover, Brian Tyree Henry, LaKeith Stanfield","","48","85","","USA","English","Atlanta, Georgia","","","","","FX Productions, MGMT Entertainment"
"Star Trek: The Next Generation","1987","8.6","95,511","44 min","TV-PG","Action,Adventure,Mystery","TV Series (1987–1994)","Set almost 100 years after Captain Kirk's five-year mission, a new generation of Starfleet officers set off in the U.S.S. Enterprise-D on their own mission to go where no one has gone before.","Creator:Gene Roddenberry","Stars:Patrick Stewart, Brent Spiner, Jonathan Frakes","Stars:Patrick Stewart, Brent Spiner, Jonathan Frakes","","36","61","New Stars. New Stories. New Worlds To Explore.","USA","English,Klingon,French","Donald C. Tillman Water Reclamation Plant - 6100 Woodley Avenue, Van Nuys, Los Angeles, California, USA","","","","","Paramount Television"
"Yeh Meri Family","2018","9.2","17,941","30 min",NA,"Comedy,Drama,Family","TV Series (2018– )","Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.","Creator:Sameer Saxena","Stars:Vishesh Bansal, Mona Singh, Akarsh Khurana","Stars:Vishesh Bansal, Mona Singh, Akarsh Khurana","","0",NA,"Summer of 98","India","Hindi","Jaipur, Rajasthan, India","","","","","Contagious Online Media Network"
"Parks and Recreation","2009","8.6","199,525","22 min","TV-14","Comedy","TV Series (2009–2020)","The absurd antics of an Indiana town's public officials as they pursue sundry projects to make their city a better place.","Creators:Greg Daniels, Michael Schur","Stars:Amy Poehler, Jim O'Heir, Nick Offerman","Stars:Amy Poehler, Jim O'Heir, Nick Offerman","","25","142","Because parks don't grow on trees.","USA","English","Zionsville, Indiana, USA","","","","","Deedle-Dee Productions, 3 Arts Entertainment, Universal Media Studios (UMS)"
"The X Files","1993","8.6","192,565","45 min","TV-14","Crime,Drama,Mystery","TV Series (1993–2018)","Two F.B.I. Agents, Fox Mulder the believer and Dana Scully the skeptic, investigate the strange and unexplained, while hidden forces work to impede their efforts.","Creator:Chris Carter","Stars:David Duchovny, Gillian Anderson, Mitch Pileggi","Stars:David Duchovny, Gillian Anderson, Mitch Pileggi","","100","217","They're not coming... They're here.","Canada,USA","English","20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA","$1,500,000","","","","Ten Thirteen Productions, 20th Century Fox Television, 20th Century Fox Television"
"Pew News","2018","9.1","13,950","15 min","TV-MA","Comedy,News","TV Series (2018–2020)","The Pew News team reports unbiased news in which neither Gloria or Poppy ever give their own opinion, but sometimes they do. Just don't tell Pewdiepie.","Creator:Felix Kjellberg","Stars:Mary Katherine Ham, Felix Kjellberg, Poppy Gloria","Stars:Mary Katherine Ham, Felix Kjellberg, Poppy Gloria","",NA,NA,"","UK","English,Swedish","Brighton, England, UK","GBP399","","","","PewDiePie"
"Battlestar Galactica","2003","8.6","66,499","183 min","TV-14","Action,Adventure,Drama","TV Mini-Series (2003)","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for their true home: Earth.","Stars:Edward James Olmos, Mary McDonnell, Katee Sackhoff            |See full cast & crew »",NA,NA,"","5","7","The threat of a new Cylon Empire is about to begin...","USA","English","Bloedel Floral Conservatory, Vancouver, British Columbia, Canada","$14,000,000","","","","R&D TV, Sky TV, USA Cable Entertainment"
"Line of Duty","2012","8.6","28,551","60 min","Not Rated","Crime,Drama,Mystery","TV Series (2012– )","British crime thriller about the investigations of AC-12, a controversial police anticorruption unit.","Creator:Jed Mercurio","Stars:Martin Compston, Vicky McClure, Adrian Dunbar","Stars:Martin Compston, Vicky McClure, Adrian Dunbar","","12","33","","UK","English","Birmingham, West Midlands, England, UK","","","","","BBC Drama Productions, World Productions"
"Friday Night Lights","2006","8.7","54,174","44 min","TV-14","Drama,Sport","TV Series (2006–2011)","A drama that follows the lives of the Dillon Panthers, one of the nation's best high school football teams, and their head coach Eric Taylor.","Creator:Peter Berg","Stars:Kyle Chandler, Connie Britton, Zach Gilford","Stars:Kyle Chandler, Connie Britton, Zach Gilford","","16","96","Every day counts. One night matters.","USA","English","Georgetown, Texas, USA","","","","","Imagine Television, Film 44, NBC Universal Television"
"Archer","2009","8.6","132,487","22 min","TV-MA","Animation,Action,Comedy","TV Series (2009– )","Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.","Creator:Adam Reed","Stars:H. Jon Benjamin, Judy Greer, Amber Nash","Stars:H. Jon Benjamin, Judy Greer, Amber Nash","","12","53","Espionage never tasted so salty. (season 1)","USA","English","Atlanta, Georgia, USA","","","","","Floyd County Productions, FX Productions, Fox Television Animation"
"Kôdo giasu - Hangyaku no rurûshu: Code Geass - Lelouch of the Rebellion","2006","8.6","46,008","24 min","TV-14","Animation,Action,Drama","TV Series (2006–2012)","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all powerful empire","Stars:Johnny Yong Bosch, Yuri Lowenthal, Jun Fukuyama            |See full cast & crew »",NA,NA,"","4","0","A rebellion revival.","Japan","Japanese","Tokyo, Japan","","","","","Bandai Namco Games, Bandai Visual Company, Bandai"
"Mad Men","2007","8.6","197,704","47 min","TV-14","Drama","TV Series (2007–2015)","A drama about one of New York's most prestigious ad agencies at the beginning of the 1960s, focusing on one of the firm's most mysterious but extremely talented ad executives, Donald Draper.","Creator:Matthew Weiner","Stars:Jon Hamm, Elisabeth Moss, Vincent Kartheiser","Stars:Jon Hamm, Elisabeth Moss, Vincent Kartheiser","","137","381","Where The Truth Lies ...","USA","English","Los Angeles Center Studios - 450 S. Bixel Street, Downtown, Los Angeles, California, USA","","","","","Lionsgate Television, Weiner Bros., American Movie Classics (AMC)"
"Gomorra: La serie","2014","8.7","26,927","55 min","TV-MA","Crime,Drama,Thriller","TV Series (2014– )","Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.","Creators:Leonardo Fasoli, Stefano Bises, Roberto Saviano            |2 more credits »","Stars:Salvatore Esposito, Marco D'Amore, Cristiana Dell'Anna","Stars:Salvatore Esposito, Marco D'Amore, Cristiana Dell'Anna","","9","2","","Italy,Germany","Italian,Neapolitan","","","","","","Cattleya, Fandango, Sky"
"Blackadder the Third","1987","8.6","39,793","180 min","TV-PG","Comedy","TV Series (1987)","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.","Stars:Rowan Atkinson, Tony Robinson, Hugh Laurie            |See full cast & crew »",NA,NA,"","3","6","Sausage!","UK","English","BBC Television Centre, Wood Lane, Shepherd's Bush, London, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen","1999","8.6","12,718","30 min","TV-MA","Animation,Action,Adventure","TV Mini-Series (1999– )","In the era of Japan's Meiji Restoration, an assassin regains his humanity.","Stars:Mayo Suzukaze, Junko Iwao, Nozomu Sasaki            |See full cast & crew »",NA,NA,"",NA,NA,"Ruthless, Deadly, Still A Child. (Trust DVD Box)","Japan","Japanese","","","","","","Studio DEEN"
"Dexter","2006","8.6","625,708","53 min","TV-MA","Crime,Drama,Mystery","TV Series (2006–2013)","By day, mild-mannered Dexter is a blood-spatter analyst for the Miami police. But at night, he is a serial killer who only targets other murderers.","Creator:James Manos Jr.","Stars:Michael C. Hall, Jennifer Carpenter, David Zayas","Stars:Michael C. Hall, Jennifer Carpenter, David Zayas","","52","194","A Serial Killer with a heart..... just pray it's not yours","USA","English,Spanish","1155 103rd St, Bay Harbor Islands, Florida, USA","","","","","Showtime Networks, John Goldwyn Productions, The Colleton Company"
"Young Justice","2010","8.6","30,217","23 min","TV-PG","Animation,Action,Adventure","TV Series (2010– )","Teenage superheroes strive to prove themselves as members of the Justice League.","Creators:Greg Weisman, Brandon Vietti, Geoff Johns            |19 more credits »","Stars:Jesse McCartney, Danica McKellar, Nolan North","Stars:Jesse McCartney, Danica McKellar, Nolan North","","9","30","Don't call them sidekicks!","USA","English","Chicago Illinois, USA","","","","","DC Comics, Warner Bros. Animation"
"Sa-rang-eui bul-sa-chak","2019","8.8","6,585","70 min","TV-14","Comedy,Romance","TV Series (2019–2020)","The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love with her and who is hiding and protecting her.","Stars:Hyun Bin, Ye-jin Son, Ji-hye Seo            |See full cast & crew »",NA,NA,"",NA,"7","","South Korea","Korean","Interlaken, Switzerland","","","","","Culture Depot, Studio Dragon"
"Through the Wormhole","2010","8.6","16,460","60 min","TV-PG","Documentary","TV Series (2010–2017)","Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there ...                    See full summary »","Stars:Morgan Freeman, Sean Carroll, Michio Kaku            |See full cast & crew »",NA,NA,"","0","4","","USA","English","Ventura, California, USA","","","","","Discovery Science Channel, Revelations Entertainment, The Incubator"
"Daredevil","2015","8.6","350,625","54 min","TV-MA","Action,Crime,Drama","TV Series (2015–2018)","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.","Creator:Drew Goddard","Stars:Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll","Stars:Charlie Cox, Vincent D'Onofrio, Deborah Ann Woll","","10","41","The First Defender.","USA","English","New York City, New York, USA","$40,000,000","","","","ABC Studios, DeKnight Productions, Goddard Textiles"
"The Bugs Bunny Show","1960","8.6","30,483","25 min","TV-G","Animation,Comedy","TV Series (1960–1975)","Bugs Bunny, the famous, Oscar-winning cartoon rabbit, hosts his first weekly television series, along with all his fellow Warner Brothers cartoon stars, including Daffy Duck, Porky Pig, ...                    See full summary »","Stars:Mel Blanc, June Foray, Jim Backus            |See full cast & crew »",NA,NA,"",NA,NA,"What's up, Doc?","USA","English","Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA","","","","","American Broadcasting Company (ABC), Warner Bros. Television"
"Mindhunter","2017","8.6","193,155","60 min","TV-MA","Crime,Drama,Thriller","TV Series (2017– )","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.","Creator:Joe Penhall","Stars:Jonathan Groff, Holt McCallany, Anna Torv","Stars:Jonathan Groff, Holt McCallany, Anna Torv","","4","24","History. Pattern. Profile.","USA","English","Pittsburgh, Pennsylvania, USA","","","","","Denver and Delilah Productions, Netflix, Panic Pictures (II)"
"The Eric Andre Show","2012","8.6","11,573","11 min","TV-MA","Comedy,Talk-Show","TV Series (2012– )","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.","Creator:Eric André","Stars:Eric André, Hannibal Buress, Tom Ato","Stars:Eric André, Hannibal Buress, Tom Ato","",NA,NA,"","USA","English","","","","","","Abso Lutely Productions"
"QI","2003","8.6","28,909","30 min","TV-PG","Comedy,Game-Show","TV Series (2003– )","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer some questions as well.","Stars:Alan Davies, Stephen Fry, Sandi Toksvig            |See full cast & crew »",NA,NA,"","3","12","","UK","English","The London Studios, Upper Ground, South Bank, Lambeth, London, England, UK","","","","","Talkback Thames"
"Peep Show","2003","8.6","50,521","25 min","TV-MA","Comedy","TV Series (2003–2015)","Mark and Jez are a couple of twenty-something roommates who have nothing in common - except for the fact that their lives are anything but normal. Mayhem ensues as the pair strive to cope with day-to-day life.","Creators:Jesse Armstrong, Sam Bain, Andrew O'Connor","Stars:David Mitchell, Robert Webb, Matt King","Stars:David Mitchell, Robert Webb, Matt King","","9","35","Welcome to the private world of Jeremy and Mark - two very ordinary weirdos.","UK","English","Canterbury House - 2-6 Sydenham Road, Croydon, London, England, UK","","","","","Objective Productions"
"Mister Rogers' Neighborhood","1968","8.6","6,988","30 min","TV-Y","Family,Fantasy,Music","TV Series (1968–2001)","Fred Rogers explores various topics for young viewers through presentations and music, both in his world and in the Neighborhood of Make-Believe.","Stars:Fred Rogers, Betty Aberlin, David Newell            |See full cast & crew »",NA,NA,"","8","66","","USA","English","Pittsburgh, Pennsylvania, USA","","","","","Family Communications, WQED"
"Long Way Round","2004","8.6","11,393","315 min","TV-PG","Documentary,Adventure","TV Mini-Series (2004– )","This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, ...                    See full summary »","Creators:David Alexanian, Charley Boorman, Russ Malkin            |1 more credit »","Stars:Ewan McGregor, Charley Boorman, David Alexanian","Stars:Ewan McGregor, Charley Boorman, David Alexanian","",NA,NA,"2 men, 2 bikes,  20,000 miles...","UK","English","Bojnice Castle, Bojnice, Slovakia","","","","","Elixir Films, Image Wizard Television Ltd."
"Mind Your Language","1977","8.7","7,156","30 min",NA,"Comedy","TV Series (1977–1986)","A diverse group of immigrants and foreigners learn English at an adult education school in London.","Creator:Vince Powell","Stars:Barry Evans, George Camiller, Jacki Harding","Stars:Barry Evans, George Camiller, Jacki Harding","",NA,NA,"","UK","English","","","","","","London Weekend Television (LWT), Tri Films"
"Father Ted","1995","8.6","35,283","25 min","TV-14","Comedy","TV Series (1995–1998)","Three misfit priests and their housekeeper live on Craggy Island, not the peaceful and quiet part of Ireland that it seems to be.","Stars:Dermot Morgan, Ardal O'Hanlon, Frank Kelly            |See full cast & crew »",NA,NA,"","15","4","","UK","English","Betchworth Quarry, Betchworth, Reigate, Surrey, England, UK","","","","","Channel 4 Television Corporation, Hat Trick Productions"
"Formula 1: Drive to Survive","2019","8.6","15,083","40 min","TV-MA","Documentary,Sport","TV Series (2019– )","Docuseries following the 2018 FIA Formula One World Championship.","Stars:Valtteri Bottas, Pierre Gasly, Romain Grosjean            |See full cast & crew »",NA,NA,"","0","4","","UK","English","","","","","","Box to Box Films"
"North & South","2004","8.6","28,910","235 min","TV-PG","Drama,Romance","TV Mini-Series (2004)","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.","Stars:Daniela Denby-Ashe, Richard Armitage, Tim Pigott-Smith            |See full cast & crew »",NA,NA,"","0",NA,"","UK","English","Bradford, West Yorkshire, England, UK","","","","","British Broadcasting Corporation (BBC)"
"Making a Murderer","2015","8.6","83,642","60 min","TV-14","Documentary,Crime","TV Series (2015– )","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.","Stars:Dolores Avery, Steven Avery, Laura Nirider            |See full cast & crew »",NA,NA,"","13","14","","USA","English","Manitowoc, Wisconsin, USA","","","","","Synthesis Films"
